section	source_ru	target
HUD / общий каркас	Уровень	
HUD / общий каркас	опасность	
HUD / общий каркас	Опыт	
HUD / общий каркас	Башня	
HUD / общий каркас	Блокнот	
HUD / общий каркас	⚔️ Поле боя	
HUD / общий каркас	Золото — игровые деньги	
HUD / общий каркас	Души — премиум-валюта	
HUD / общий каркас	Искры — для крафта 3 уровня	
Названия зданий башни	Покои героя	
Названия зданий башни	Лестница в Небо	
Названия зданий башни	Нижний мир	
Названия зданий башни	Арена	
Названия зданий башни	Мастерские	
Названия зданий башни	Лаборатории	
Названия зданий башни	Магазин	
Названия зданий башни	Академия	
Названия зданий башни	Барахолка	
Названия зданий башни	Таверна	
Названия зданий башни	Банк	
Названия зданий башни	Кланы	
Названия зданий башни	Чат мира	
Названия зданий башни	Гильдия магов	
Названия зданий башни	Совет старейшин	
Описания зданий	Экипировка, рюкзак, статы, дары дня и коллекция сетов.	
Описания зданий	Спуститься в миры и выбрать локацию для похода.	
Описания зданий	Города и шахты смертных: пассивная добыча ресурсов во времени (раздел GDD «нижний мир»).	
Описания зданий	Тренировочные бои с двойником ради опыта.	
Описания зданий	Переработка ресурсов и создание оружия, брони, бижутерии.	
Описания зданий	Эликсиры, зелья и мази.	
Описания зданий	Купить ресурсы и расходники за золото, продать трофеи.	
Описания зданий	База знаний об открытых мирах и статистика.	
Описания зданий	Торговля между игроками: выставляй лоты и покупай у других (раздел GDD «Барахолка»).	
Описания зданий	Азартные игры на золото: кости, напёрстки и лотерея (раздел GDD «Таверна»).	
Описания зданий	Обмен Душ на Золото и Искры (монетизация GDD).	
Описания зданий	Объедините полубогов в клан: общая казна и пассивный бонус всем участникам (раздел GDD «кланы»).	
Описания зданий	Общий живой чат всех полубогов.	
Описания зданий	Членство, ранги, улучшение и изучение заклинаний (раздел GDD «Гильдия магов»).	
Описания зданий	Журнал заданий — большая часть квестов берётся здесь.	
Вавилонская башня (хаб)	🏯 Вавилонская башня	
Вавилонская башня (хаб)	Цитадель порядка в хаосе. Полубоги обитают здесь, между нижним миром смертных и нестабильным верхним миром. Выберите помещение.	
Статы	Сила	
Статы	Ловкость	
Статы	Выносливость	
Статы	Интеллект	
Статы	Вера	
Статы	Ярость	
Статы	Удача	
Статы	Реакция	
Статы	Отражение	
Ресурсы	Волокно	
Ресурсы	Тонкая шкура	
Ресурсы	Толстая шкура	
Ресурсы	Бревно	
Ресурсы	Камень	
Ресурсы	Руда	
Ресурсы	Кость	
Ресурсы	Ромашка полевая	
Ресурсы	Мухомор	
Ресурсы	Пустынный песок	
Ресурсы	Слюда	
Ресурсы	Соль	
Ресурсы	Драгоценный камень	
Ресурсы	Древесный уголь	
Ресурсы	Доска	
Ресурсы	Кусок ткани	
Ресурсы	Кусок кожи	
Ресурсы	Металл	
Ресурсы	Чешуя дракона	
Ресурсы	Камень душ	
Ресурсы	Звёздный кристалл	
Ресурсы	Адская сталь	
Ресурсы	Магическая эссенция	
Ресурсы	Золото	
Ресурсы	Души	
Ресурсы	Искры	
Рарность	Обычный	
Рарность	Необычный	
Рарность	Редкий	
Рарность	Эпический	
Рарность	Легендарный	
Рарность	Мифический	
Стихии и направления	ветер	
Стихии и направления	вода	
Стихии и направления	огонь	
Стихии и направления	земля	
Стихии и направления	свет	
Стихии и направления	тьма	
Стихии и направления	сумрак	
Слова предметов/действий	урон	
Слова предметов/действий	урона	
Слова предметов/действий	броня	
Слова предметов/действий	усиление	
Слова предметов/действий	снимает яд	
Слова предметов/действий	немота	
Слова предметов/действий	р.	
Слова предметов/действий	каменная кожа	
Слова предметов/действий	конц.	
Слова предметов/действий	треб:	
Слова предметов/действий	надеть	
Слова предметов/действий	снять	
Слова предметов/действий	вернуть	
Слова предметов/действий	вернуть в арсенал	
Слова предметов/действий	в бою	
Слова предметов/действий	одолжить клану	
Слова предметов/действий	Арендовано	
Слова предметов/действий	аренда	
Слова предметов/действий	пусто	
Типы предметов	оружие	
Типы предметов	эликсир	
Типы предметов	зелье	
Типы предметов	мазь	
Типы предметов	усилитель	
Миры	Равнинный	
Миры	Лесной	
Миры	Подземный	
Миры	Горный	
Миры	Пустынный	
Миры	Болотный	
Миры	Водный	
Миры	Царство мёртвых	
Миры	Лавяной	
Миры	Горный пик / Небесный	
Миры	Ад	
Миры	Рай	
Предметы (крафт/магазин)	Кинжал	
Предметы (крафт/магазин)	Меч	
Предметы (крафт/магазин)	Топор	
Предметы (крафт/магазин)	Булава	
Предметы (крафт/магазин)	Копьё	
Предметы (крафт/магазин)	Лук	
Предметы (крафт/магазин)	Посох	
Предметы (крафт/магазин)	Метательный диск	
Предметы (крафт/магазин)	Тканевый шлем	
Предметы (крафт/магазин)	Роба	
Предметы (крафт/магазин)	Кожаный шлем	
Предметы (крафт/магазин)	Кожаный доспех	
Предметы (крафт/магазин)	Стальной шлем	
Предметы (крафт/магазин)	Латный нагрудник	
Предметы (крафт/магазин)	Большой щит	
Предметы (крафт/магазин)	Кольцо силы	
Предметы (крафт/магазин)	Амулет веры	
Предметы (крафт/магазин)	Серьги удачи	
Предметы (крафт/магазин)	Рунный клинок	
Предметы (крафт/магазин)	Посох некроманта	
Предметы (крафт/магазин)	Звёздный лук	
Предметы (крафт/магазин)	Адский молот	
Предметы (крафт/магазин)	Доспех дракона	
Предметы (крафт/магазин)	Мантия мага	
Предметы (крафт/магазин)	Шлем теней	
Предметы (крафт/магазин)	Амулет звёзд	
Предметы (крафт/магазин)	Кольцо дракона	
Предметы (крафт/магазин)	Серьги ада	
Предметы (крафт/магазин)	Эликсир жизни	
Предметы (крафт/магазин)	Эликсир маны	
Предметы (крафт/магазин)	Зелье яда	
Предметы (крафт/магазин)	Мазь силы	
Предметы (крафт/магазин)	Противоядие	
Предметы (крафт/магазин)	Зелье немоты	
Предметы (крафт/магазин)	Зелье каменной кожи	
Усилители (самоцветы)	Рубин	
Усилители (самоцветы)	Изумруд	
Усилители (самоцветы)	Оникс	
Усилители (самоцветы)	Сапфир	
Усилители (самоцветы)	Аметист	
Усилители (самоцветы)	Альмандин	
Усилители (самоцветы)	Цитрин	
Усилители (самоцветы)	Топаз	
Усилители (самоцветы)	Алмаз	
Сеты и их части	Звёздный аркан	
Сеты и их части	Посох звёздного аркана	
Сеты и их части	Венец звездочёта	
Сеты и их части	Мантия созвездий	
Сеты и их части	Амулет небосвода	
Сеты и их части	Перстень звездочёта	
Сеты и их части	Гнев Вавилона	
Сеты и их части	Клинок Вавилона	
Сеты и их части	Шлем владыки	
Сеты и их части	Латы владыки	
Сеты и их части	Щит Вавилона	
Сеты и их части	Печать воина	
Сеты и их части	Кровавая жатва	
Сеты и их части	Секира кровавой жатвы	
Сеты и их части	Шлем ярости	
Сеты и их части	Доспех берсерка	
Сеты и их части	Серьга бешенства	
Сеты и их части	Кольцо неистовства	
Сеты и их части	Шёпот ветра	
Сеты и их части	Лук шёпота ветра	
Сеты и их части	Капюшон следопыта	
Сеты и их части	Куртка следопыта	
Сеты и их части	Серьга ветра	
Сеты и их части	Кольцо меткости	
Сеты и их части	Несокрушимый бастион	
Сеты и их части	Молот стража	
Сеты и их части	Шлем бастиона	
Сеты и их части	Латы бастиона	
Сеты и их части	Башенный щит	
Сеты и их части	Амулет твердыни	
Сеты и их части	Тень Зиккурата	
Сеты и их части	Клинок теней	
Сеты и их части	Маска зиккурата	
Сеты и их части	Облачение теней	
Сеты и их части	Кольцо убийцы	
Сеты и их части	Серьга тени	
Сеты и их части	Длань Небес	
Сеты и их части	Булава небес	
Сеты и их части	Венец паладина	
Сеты и их части	Латы небес	
Сеты и их части	Эгида небес	
Сеты и их части	Реликвия небес	
Интерфейс: заголовки, вкладки, кнопки, подписи	Боевые параметры	
Интерфейс: заголовки, вкладки, кнопки, подписи	⚔️ Боевые навыки	
Интерфейс: заголовки, вкладки, кнопки, подписи	Магия	
Интерфейс: заголовки, вкладки, кнопки, подписи	Профессии	
Интерфейс: заголовки, вкладки, кнопки, подписи	Статы	
Интерфейс: заголовки, вкладки, кнопки, подписи	Ресурсы	
Интерфейс: заголовки, вкладки, кнопки, подписи	Экипировка	
Интерфейс: заголовки, вкладки, кнопки, подписи	Сет-бонусы	
Интерфейс: заголовки, вкладки, кнопки, подписи	Сборки экипировки	
Интерфейс: заголовки, вкладки, кнопки, подписи	Ковка частей	
Интерфейс: заголовки, вкладки, кнопки, подписи	Перековка рарности	
Интерфейс: заголовки, вкладки, кнопки, подписи	🐾 Питомцы	
Интерфейс: заголовки, вкладки, кнопки, подписи	В строю:	
Интерфейс: заголовки, вкладки, кнопки, подписи	Атака	
Интерфейс: заголовки, вкладки, кнопки, подписи	Блок	
Интерфейс: заголовки, вкладки, кнопки, подписи	Защита	
Интерфейс: заголовки, вкладки, кнопки, подписи	Урон	
Интерфейс: заголовки, вкладки, кнопки, подписи	Броня	
Интерфейс: заголовки, вкладки, кнопки, подписи	Маг. контр	
Интерфейс: заголовки, вкладки, кнопки, подписи	Физ. контр	
Интерфейс: заголовки, вкладки, кнопки, подписи	Маг. крит	
Интерфейс: заголовки, вкладки, кнопки, подписи	Физ. крит	
Интерфейс: заголовки, вкладки, кнопки, подписи	Парирование	
Интерфейс: заголовки, вкладки, кнопки, подписи	Реген HP/мин	
Интерфейс: заголовки, вкладки, кнопки, подписи	Реген MP/мин	
Интерфейс: заголовки, вкладки, кнопки, подписи	Герой	
Интерфейс: заголовки, вкладки, кнопки, подписи	Игрок	
Интерфейс: заголовки, вкладки, кнопки, подписи	Мир	
Интерфейс: заголовки, вкладки, кнопки, подписи	Локация	
Интерфейс: заголовки, вкладки, кнопки, подписи	Сложность локации	
Интерфейс: заголовки, вкладки, кнопки, подписи	Исследование мира	
Интерфейс: заголовки, вкладки, кнопки, подписи	Ранг	
Интерфейс: заголовки, вкладки, кнопки, подписи	Сумма уровней стихий:	
Интерфейс: заголовки, вкладки, кнопки, подписи	Членский взнос — единоразово.	
Интерфейс: заголовки, вкладки, кнопки, подписи	Все доступные заклинания изучены.	
Интерфейс: заголовки, вкладки, кнопки, подписи	Ур.	
Интерфейс: заголовки, вкладки, кнопки, подписи	◇ вставить…	
Интерфейс: заголовки, вкладки, кнопки, подписи	— пока пусто —	
Интерфейс: заголовки, вкладки, кнопки, подписи	(выбери слот)	
Интерфейс: заголовки, вкладки, кнопки, подписи	(склады полны!)	
Интерфейс: заголовки, вкладки, кнопки, подписи	+10 макс	
Интерфейс: заголовки, вкладки, кнопки, подписи	Terra Incognita — мир ещё не исследован	
Интерфейс: заголовки, вкладки, кнопки, подписи	создать	
Интерфейс: заголовки, вкладки, кнопки, подписи	купить	
Интерфейс: заголовки, вкладки, кнопки, подписи	продать	
Интерфейс: заголовки, вкладки, кнопки, подписи	выставить	
Интерфейс: заголовки, вкладки, кнопки, подписи	отправить	
Интерфейс: заголовки, вкладки, кнопки, подписи	обновить	
Интерфейс: заголовки, вкладки, кнопки, подписи	отпустить	
Интерфейс: заголовки, вкладки, кнопки, подписи	перековать	
Интерфейс: заголовки, вкладки, кнопки, подписи	забрать	
Интерфейс: заголовки, вкладки, кнопки, подписи	Применить	
Интерфейс: заголовки, вкладки, кнопки, подписи	внести в казну	
Интерфейс: заголовки, вкладки, кнопки, подписи	в процессе	
Интерфейс: заголовки, вкладки, кнопки, подписи	нет расходников	
Интерфейс: заголовки, вкладки, кнопки, подписи	вы арендуете	
Интерфейс: заголовки, вкладки, кнопки, подписи	закрыт	
Интерфейс: заголовки, вкладки, кнопки, подписи	открыт	
Интерфейс: заголовки, вкладки, кнопки, подписи	макс	
Интерфейс: заголовки, вкладки, кнопки, подписи	Забрать награду	
Интерфейс: заголовки, вкладки, кнопки, подписи	Вернуться в башню	
Интерфейс: заголовки, вкладки, кнопки, подписи	✨ Каст	
Интерфейс: заголовки, вкладки, кнопки, подписи	⚔️ В поход	
Интерфейс: заголовки, вкладки, кнопки, подписи	Применить промокод	
Интерфейс: заголовки, вкладки, кнопки, подписи	⚔️ Арена	
Интерфейс: заголовки, вкладки, кнопки, подписи	⚗️ Лаборатории	
Интерфейс: заголовки, вкладки, кнопки, подписи	🍺 Таверна	
Интерфейс: заголовки, вкладки, кнопки, подписи	🏛️ Банк	
Интерфейс: заголовки, вкладки, кнопки, подписи	🏪 Магазин	
Интерфейс: заголовки, вкладки, кнопки, подписи	🏷️ Барахолка	
Интерфейс: заголовки, вкладки, кнопки, подписи	🏘️ Нижний мир	
Интерфейс: заголовки, вкладки, кнопки, подписи	🏆 Зал славы	
Интерфейс: заголовки, вкладки, кнопки, подписи	🐉 Клановый рейд	
Интерфейс: заголовки, вкладки, кнопки, подписи	🏪 Клановый арсенал	
Интерфейс: заголовки, вкладки, кнопки, подписи	⚙️ Улучшения клана	
Интерфейс: заголовки, вкладки, кнопки, подписи	⚔️ Соперники	
Интерфейс: заголовки, вкладки, кнопки, подписи	⚔️ Атаковать	
Интерфейс: заголовки, вкладки, кнопки, подписи	🎁 Дары дня	
Интерфейс: заголовки, вкладки, кнопки, подписи	Ежедневные задания	
Интерфейс: заголовки, вкладки, кнопки, подписи	Все задания дня	
Интерфейс: заголовки, вкладки, кнопки, подписи	Награда за вход	
Интерфейс: заголовки, вкладки, кнопки, подписи	🎲 Кости	
Интерфейс: заголовки, вкладки, кнопки, подписи	🎟️ Лотерея	
Интерфейс: заголовки, вкладки, кнопки, подписи	🎒 Из рюкзака	
Интерфейс: заголовки, вкладки, кнопки, подписи	Соперники не найдены	
Интерфейс: заголовки, вкладки, кнопки, подписи	🏆 Побед:	
Интерфейс: заголовки, вкладки, кнопки, подписи	🎯 Боёв с наградой сегодня:	
Интерфейс: заголовки, вкладки, кнопки, подписи	Выйти на бой с двойником	
Интерфейс: заголовки, вкладки, кнопки, подписи	Бой с тёмным двойником ради опыта.	
Интерфейс: заголовки, вкладки, кнопки, подписи	Вы вернётесь в башню ослабленным.	
Интерфейс: заголовки, вкладки, кнопки, подписи	👑 БОСС	
Интерфейс: заголовки, вкладки, кнопки, подписи	Лидер:	
Интерфейс: заголовки, вкладки, кнопки, подписи	Лучшие бойцы:	
Интерфейс: заголовки, вкладки, кнопки, подписи	Твой вклад:	
Интерфейс: заголовки, вкладки, кнопки, подписи	Зачистка мира:	
Интерфейс: заголовки, вкладки, кнопки, подписи	Рейд пока недоступен.	
Интерфейс: заголовки, вкладки, кнопки, подписи	Живой чат клана. Обновляется автоматически.	
Интерфейс: заголовки, вкладки, кнопки, подписи	Общий живой чат всех полубогов. Обновляется автоматически.	
Интерфейс: заголовки, вкладки, кнопки, подписи	Сообщений пока нет. Будь первым!	
Интерфейс: заголовки, вкладки, кнопки, подписи	Событий пока нет.	
Интерфейс: заголовки, вкладки, кнопки, подписи	Арсенал пуст. Одолжите вещь кнопкой 📦 в инвентаре.	
Интерфейс: заголовки, вкладки, кнопки, подписи	⚜️ Бонус клана:	
Интерфейс: заголовки, вкладки, кнопки, подписи	🐉 Босс повержен!	
Интерфейс: заголовки, вкладки, кнопки, подписи	🎁 Награда за рейд:	
Интерфейс: заголовки, вкладки, кнопки, подписи	Нанесено боссу клана:	
Интерфейс: заголовки, вкладки, кнопки, подписи	Основать клан	
Интерфейс: заголовки, вкладки, кнопки, подписи	Пока нет ни одного клана. Основай первый!	
Интерфейс: заголовки, вкладки, кнопки, подписи	✓ зачищен	
Интерфейс: заголовки, вкладки, кнопки, подписи	✅ принять	
Интерфейс: заголовки, вкладки, кнопки, подписи	Загрузка лотов…	
Интерфейс: заголовки, вкладки, кнопки, подписи	В этой категории пока никто ничего не продаёт.	
Интерфейс: заголовки, вкладки, кнопки, подписи	В этой категории пусто.	
Интерфейс: заголовки, вкладки, кнопки, подписи	Нет ресурсов для продажи.	
Интерфейс: заголовки, вкладки, кнопки, подписи	Ресурсов на продажу пока нет.	
Интерфейс: заголовки, вкладки, кнопки, подписи	В рюкзаке нет вещей этой категории.	
Интерфейс: заголовки, вкладки, кнопки, подписи	Нет ресурсов — добудьте в Нижнем мире или в походах.	
Интерфейс: заголовки, вкладки, кнопки, подписи	⛏️ Добыть руками (бесплатно)	
Интерфейс: заголовки, вкладки, кнопки, подписи	Собрать урожай	
Интерфейс: заголовки, вкладки, кнопки, подписи	постройки ещё не возведены — добывай руками ниже	
Интерфейс: заголовки, вкладки, кнопки, подписи	Угадай, под каким стаканом шарик. Угадал — выигрыш ×3.	
Интерфейс: заголовки, вкладки, кнопки, подписи	· Убито мобов:	
Интерфейс: заголовки, вкладки, кнопки, подписи	· Создано вещей:	
Интерфейс: заголовки, вкладки, кнопки, подписи	Посещено локаций:	
Интерфейс: заголовки, вкладки, кнопки, подписи	· Полных комплектов:	
Интерфейс: заголовки, вкладки, кнопки, подписи	· Участников:	
Интерфейс: заголовки, вкладки, кнопки, подписи	· Выиграно:	
Интерфейс: заголовки, вкладки, кнопки, подписи	Заработано:	
Интерфейс: заголовки, вкладки, кнопки, подписи	Сыграно:	
Интерфейс: заголовки, вкладки, кнопки, подписи	Собрано частей:	
Интерфейс: заголовки, вкладки, кнопки, подписи	Загрузка…	
Интерфейс: заголовки, вкладки, кнопки, подписи	⏳ Загрузка…	
Интерфейс: заголовки, вкладки, кнопки, подписи	Нет данных	
Интерфейс: заголовки, вкладки, кнопки, подписи	Ошибка загрузки	
Интерфейс: заголовки, вкладки, кнопки, подписи	Ещё никто не попал в зал славы	
Интерфейс: заголовки, вкладки, кнопки, подписи	Соперник недоступен	
Заклинания: имена	Воздушный щит	
Заклинания: имена	Песчаная буря	
Заклинания: имена	Яростный ветер	
Заклинания: имена	Малое лечение	
Заклинания: имена	Яд	
Заклинания: имена	Луч света	
Заклинания: имена	Пепел	
Заклинания: имена	Луч негативной энергии	
Заклинания: имена	Преграда	
Заклинания: имена	Яма	
Заклинания: имена	Землетрясение	
Заклинания: имена	Волна исцеления	
Заклинания: имена	Цепная молния	
Заклинания: имена	Инферно	
Заклинания: имена	Каменная кожа	
Заклинания: имена	Высасывание души	
Заклинания: имена	Метеор	
Заклинания: имена	Ледяное копьё	
Заклинания: имена	Буря	
Заклинания: имена	Аура жизни	
Заклинания: описания	Смерч вокруг цели: +20 защиты на 1 раунд.	
Заклинания: описания	Засыпает врагу глаза: -20 защиты на 1 раунд.	
Заклинания: описания	Сдувает все щиты и бури с поля боя.	
Заклинания: описания	Лечит 10 HP цели.	
Заклинания: описания	Травит цель: -1 HP/раунд, 3 раунда.	
Заклинания: описания	Снимает яд и даёт регенерацию.	
Заклинания: описания	Обжигающий луч: -5 HP.	
Заклинания: описания	Горсть пепла в лицо: -9 HP и -10 защиты на раунд.	
Заклинания: описания	-5 урон, -10 защиты, -1 сила цели.	
Заклинания: описания	Преграда на поле боя: следующий удар врага слабее.	
Заклинания: описания	Враг проваливается в яму и пропускает раунд (шанс).	
Заклинания: описания	Сотрясает поле боя, нанося урон всем целям.	
Заклинания: описания	Мощная волна восстанавливает 40 HP.	
Заклинания: описания	Молния бьёт по всем врагам: −15 HP каждому.	
Заклинания: описания	Адское пламя испепеляет цель: −30 HP.	
Заклинания: описания	Кожа твердеет как камень: +40 защиты на 3 раунда.	
Заклинания: описания	Крадёт жизнь врага: −20 HP врагу, +10 HP вам.	
Заклинания: описания	Падающий метеор сокрушает цель: −50 HP.	
Заклинания: описания	Пронзает цель льдом: −28 HP.	
Заклинания: описания	Шторм бьёт по всем врагам: −22 HP.	
Заклинания: описания	Восстанавливает 25 HP.	
Мобы	полевая фея	
Мобы	Тушканчик	
Мобы	бык	
Мобы	Орк	
Мобы	Светлый эльф	
Мобы	Химера	
Мобы	Заяц	
Мобы	Кикимора	
Мобы	Кентавр	
Мобы	Олень	
Мобы	Хоббит	
Мобы	Ехидна	
Мобы	Ёж	
Мобы	Оса	
Мобы	Разбойник	
Мобы	Гоблин	
Мобы	Обезумевший лось	
Мобы	Вепрь	
Мобы	Тигр	
Мобы	Бабай	
Мобы	Лесной эльф	
Мобы	Энт	
Мобы	Дриада	
Мобы	Чупакабра	
Мобы	Медведь	
Мобы	Дендроид	
Мобы	Леший	
Мобы	Волк	
Мобы	Чернокнижник	
Мобы	Медведь-оборотень	
Мобы	Хранитель подземелья	
Мобы	Кристальный дракон	
Мобы	Акромантул	
Мобы	Кобольд	
Мобы	Летучая мышь	
Мобы	Песчаный червь	
Мобы	Гигантский слизень	
Мобы	Драук	
Мобы	Дроу	
Мобы	Крыса	
Мобы	Минотавр	
Мобы	Дух земли	
Мобы	Крот	
Мобы	Червь	
Мобы	Земляной элементаль	
Мобы	Горгона	
Мобы	Орёл	
Мобы	Горгулья	
Мобы	Гигантский паук	
Мобы	Тролль	
Мобы	Гигант	
Мобы	Ледяной демон	
Мобы	Аспид	
Мобы	Циклоп	
Мобы	Каменный голем	
Мобы	Гнолл	
Мобы	Гном	
Мобы	Гарпия	
Мобы	Серый гном	
Мобы	Гремлин	
Мобы	Скарабей	
Мобы	Мантикора	
Мобы	Джинн	
Мобы	Дервиш	
Мобы	Гигантский скорпион	
Мобы	Ночной убийца	
Мобы	Крысолюд	
Мобы	Мумия	
Мобы	Кобра	
Мобы	Зловещее нечто	
Мобы	Сфинкс	
Мобы	Драйдер	
Мобы	Стервятник	
Мобы	Болотник	
Мобы	Банши	
Мобы	Ядовитая жаба	
Мобы	Анаконда	
Мобы	Водяной	
Мобы	Василиск	
Мобы	Ящер	
Мобы	Виверна	
Мобы	Крокодил	
Мобы	Гидра	
Мобы	Огр	
Мобы	Тритон	
Мобы	Краб	
Мобы	Сирена	
Мобы	Черепаха	
Мобы	Русалка	
Мобы	Морской ёж	
Мобы	Дух воды	
Мобы	Водяной элементаль	
Мобы	Левиафан	
Мобы	Кракен	
Мобы	Акула	
Мобы	Скелет	
Мобы	Костяной дракон	
Мобы	Смерть	
Мобы	Оборотень	
Мобы	Дрампир	
Мобы	Зомби	
Мобы	Тёмный рыцарь	
Мобы	Чёрная вдова	
Мобы	Некромант	
Мобы	Вампир	
Мобы	Гуль	
Мобы	Призрак	
Мобы	Лич	
Мобы	Живой огонёк	
Мобы	Феникс	
Мобы	Лавяной голем	
Мобы	Ржавый дракон	
Мобы	Огненный элементаль	
Мобы	Ифрит	
Мобы	Чёрный дракон	
Мобы	Дух огня	
Мобы	Порождение бездны	
Мобы	Саламандра	
Мобы	Ворон	
Мобы	Золотой дракон	
Мобы	Громобой	
Мобы	Воздушный дух	
Мобы	Порождение ночи	
Мобы	Козерог	
Мобы	Маг	
Мобы	Нага	
Мобы	Воздушный элементаль	
Мобы	Грифон	
Мобы	Эхо	
Мобы	Титан	
Мобы	Осквернитель	
Мобы	Магог	
Мобы	Демон	
Мобы	Цербер	
Мобы	Червь-трупоед	
Мобы	Кошмар	
Мобы	Бес	
Мобы	Адский таракан	
Мобы	Чёрт	
Мобы	Госпожа боли	
Мобы	Мясник	
Мобы	Мародёр	
Мобы	Антихрист	
Мобы	Суккуба	
Мобы	Инкуб	
Мобы	Проклятье	
Мобы	Дьявол	
Мобы	Люцифер	
Мобы	Страж света	
Мобы	Змей-искуситель	
Мобы	Нимфа	
Мобы	Пегас	
Мобы	Лепрекон	
Мобы	Сатир	
Мобы	Архангел	
Мобы	Шива	
Мобы	Раздор	
Мобы	Единорог	
Локации	Поле	
Локации	Луг	
Локации	Ручей	
Локации	Озеро	
Локации	Прерии	
Локации	Овраг	
Локации	Водопой	
Локации	Одинокий холм	
Локации	Туман	
Локации	Тропа	
Локации	Опушка	
Локации	Поляна	
Локации	Пуща	
Локации	Древний лес	
Локации	Бор	
Локации	Плодовая роща	
Локации	Малинник	
Локации	Заросли	
Локации	Молодой лес	
Локации	Сгоревший лес	
Локации	Кристальная пещера	
Локации	Шахты	
Локации	Галереи	
Локации	Грот	
Локации	Подземное озеро	
Локации	Древние ходы	
Локации	Лабиринт	
Локации	Разломы	
Локации	Живая земля	
Локации	Лес сталагмитов	
Локации	Скала	
Локации	Парапет	
Локации	Ущелье	
Локации	Водопад	
Локации	Ледник	
Локации	Утёс	
Локации	Оползень	
Локации	Перевал	
Локации	Пик	
Локации	Горная тропа	
Локации	Дюны	
Локации	Оазис	
Локации	Долина миражей	
Локации	Высохшая река	
Локации	Развалины дворца	
Локации	Пирамиды	
Локации	Кактусовая роща	
Локации	Зыбучие пески	
Локации	Солёное озеро	
Локации	Мёртвый оазис	
Локации	Трясина	
Локации	Илистые берега	
Локации	Камышовые заросли	
Локации	Омут	
Локации	Большие кочки	
Локации	Логово гадов	
Локации	Сгнивший лес	
Локации	Мутное озеро	
Локации	Торфяник	
Локации	Источник газов	
Локации	Дно	
Локации	Остров	
Локации	Коса	
Локации	Мелководье	
Локации	Западина	
Локации	Течение	
Локации	Водоворот	
Локации	Лагуна	
Локации	Кладбище кораблей	
Локации	Рифы	
Локации	Кладбище	
Локации	Стикс	
Локации	Мёртвый лес	
Локации	Разрытые могилы	
Локации	Осквернённые склепы	
Локации	Катакомбы	
Локации	Пристанище некромантов	
Локации	Усадьбы вампиров	
Локации	Пристанище душ	
Локации	Мавзолей	
Локации	Кратеры	
Локации	Потоки лавы	
Локации	Застывшая лава	
Локации	Серные гейзеры	
Локации	Лавяное озеро	
Локации	Лавяная река	
Локации	Пепельная туча	
Локации	Действующий вулкан	
Локации	Потухший вулкан	
Локации	Раскалённая порода	
Локации	Облако	
Локации	Грозовая туча	
Локации	Ураган	
Локации	Ночное небо	
Локации	Вакуум	
Локации	Воздушные замки	
Локации	Летающий остров	
Локации	Сухой ветер	
Локации	Галерея застывших молний	
Локации	Эфир	
Локации	Смолистые ванны	
Локации	Серные тучи	
Локации	Живодёрня	
Локации	Пресс возмездия	
Локации	Столовая «у Люцифера»	
Локации	Спальня грешников	
Локации	Мясная лавка	
Локации	Покои дьявола	
Локации	Арена Ада	
Локации	Бездонный провал	
Локации	Лестница в небо	
Локации	Запретный сад	
Локации	Тёплые озёра	
Локации	Цветущие поляны	
Локации	Радужные поля	
Локации	Райские кусты	
Локации	Поднебесный замок	
Локации	Источники молодости	
Локации	Земли обетованные	
Локации	Роща смирения	
Описания статов	ур.	
Описания статов	растёт от:	
Описания статов	нанесённый урон	
Описания статов	уклонения	
Описания статов	полученный урон	
Описания статов	потраченная мана	
Описания статов	магические криты	
Описания статов	физические криты	
Описания статов	удачные удары	
Описания статов	физические контрудары	
Описания статов	магические контрудары	
Описания статов	+2% к урону оружия, +5 к переносимому весу. Нужна для оружия и брони.	
